name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Apricots, dried, stewed with sugar",Stewed Dried Apricots with Sugar,🍑,TRUE,61.8,0.3,1.9,0.3,22,92,393,0,0,22,8.7,0,4.4,8.9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,740,36,25,47,1.6,0.16,0.3,13,0.2,3,N,0,255,43,0,N,0,0,0.06,0.9,0.2,1.1,0.05,0,1,0.21,N,0
"Apricots, dried, stewed without sugar",Stewed Dried Apricots,🍑,TRUE,65,0.32,2,0.3,17.8,77,328,0,0,17.8,8.8,0,4.4,4.7,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,22,770,37,26,49,1.7,0.16,0.3,14,0.2,3,N,0,265,44,0,N,0,0,0.06,0.9,0.3,1.2,0.06,0,1,0.22,N,0
"Apricots, raw, flesh and skin",Fresh Apricots,🍑,TRUE,87.2,0.14,0.9,0.1,7.2,31,134,0,0,7.2,1.6,0,0.9,4.6,0,0,0,1.7,N,0,0,0,0,0,0,0,0,0,0,2,270,15,11,20,0.5,0.06,0.1,3,0.1,1,N,0,405,67,0,N,0,0.04,0.05,0.5,0.1,0.6,0.08,0,5,0.24,N,6
"Apricots, raw, flesh and skin, weighed with stones",Whole Fresh Apricots,🍑,TRUE,80.2,0.13,0.8,0.1,6.6,29,123,0,0,6.6,1.5,0,0.8,4.2,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,2,250,14,10,18,0.5,0.05,0.1,3,0.1,1,N,0,375,63,0,N,0,0.04,0.05,0.5,0.1,0.6,0.07,0,5,0.22,N,5
"Apricots, ready-to-eat, semi-dried",Semi-Dried Apricots,🍑,TRUE,39.6,0.35,2.2,0.5,39.4,161,686,0,0,39.4,25.1,0,10.4,3.9,0,0,0,6.3,5.3,0.13,0.13,0.12,0.02,0.02,0.25,0.25,0,0,0,9,1039,71,34,67,1.35,0.3,0.25,10,0.24,0,18,0,550,92,0,3.68,0,0.02,0.01,2.5,0.1,2.6,0.09,0,13,0.26,0.5,1
"Apricots, stewed with sugar",Stewed Apricots with Sugar,🍑,TRUE,76.9,0.11,0.7,0.1,18.3,72,308,0,0,18.3,2.2,0,2.1,14,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1,190,12,7,7,0.8,0.05,0.1,2,0,1,N,0,105,17,0,N,0,0.02,0.03,0.5,0.1,0.6,0.05,0,0,0.15,N,4
"Apricots, stewed with sugar, weighed with stones",Whole Stewed Apricots with Sugar,🍑,TRUE,71.7,0.1,0.6,0.1,17.1,67,288,0,0,17.1,2.1,0,2,13.1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,180,11,7,7,0.7,0.05,0.1,2,0,1,N,0,98,16,0,N,0,0.02,0.03,0.5,0.1,0.6,0.05,0,0,0.14,N,4
"Apricots, stewed without sugar",Stewed Apricots,🍑,TRUE,88.3,0.12,0.7,0.1,6.2,27,115,0,0,6.2,1.6,0,1,3.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,200,13,7,7,0.8,0.05,0.1,2,0.1,1,N,0,110,18,0,N,0,0.03,0.03,0.3,0.1,0.4,0.05,0,1,0.15,N,4
"Apricots, stewed without sugar, weighed with stones",Whole Stewed Apricots,🍑,TRUE,82.1,0.11,0.7,0.1,5.8,25,108,0,0,5.8,1.5,0,0.9,3.3,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1,190,12,7,7,0.7,0.05,0.1,2,0.1,1,N,0,100,17,0,N,0,0.03,0.03,0.3,0.1,0.4,0.05,0,1,0.14,N,4
"Arrowhead, boiled in unsalted water",Boiled Arrowhead,🍛,TRUE,75.5,0.67,4.2,0.3,17.8,91,385,N,0,N,N,0,N,N,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,18,610,11,43,140,2.2,N,N,N,N,N,N,0,0,0,0,0,0,0.13,0.03,1.2,N,N,N,0,N,N,N,1
"Arrowhead, raw",Raw Arrowhead,🍛,TRUE,70.6,0.8,5,0.3,21.5,107,448,N,0,N,N,0,N,N,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,22,730,13,51,170,2.6,N,N,N,N,N,N,0,0,0,0,0,0,0.16,0.04,1.4,N,N,N,0,N,N,N,5
Arrowroot,Arrowroot,🍛,TRUE,12.2,0.07,0.4,0.1,94,355,1515,94,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,18,7,8,27,2,0.22,0,7,N,N,N,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Boiled Globe Artichoke (heart and leaves),🥬,TRUE,84.4,0.47,2.9,0.2,2.7,18,78,0,0,1.3,0.8,0,0.4,0.1,0,0,0,N,0,0.1,0,0,0,0,0,0.1,0,0,0,15,330,44,27,40,0.5,0.09,0.5,84,0.3,0,N,0,90,15,0,0.19,0,0,0.02,1,0.5,1.5,0.02,0,50,0.34,4.1,1
